iter	Logloss
0	0.6600362396
1	0.6337439346
2	0.6017795563
3	0.5834355927
4	0.5599380875
5	0.5454520798
6	0.5267462921
7	0.5152571869
8	0.5035022736
9	0.492073822
10	0.4719097137
11	0.4585824585
12	0.4486384583
13	0.4418677902
14	0.4337155151
15	0.42966465
16	0.4176637268
17	0.4091432953
18	0.3978489685
19	0.3899302673
20	0.3850840759
21	0.3815139389
22	0.3764934921
23	0.3703187561
24	0.3657308578
25	0.358467865
26	0.3562575912
27	0.3493889999
28	0.3457748413
29	0.3415213776
30	0.3383686829
31	0.3363751221
32	0.3302297974
33	0.3268774033
34	0.3247455215
35	0.3223030853
36	0.3190724182
37	0.3141362381
38	0.3104238129
39	0.3055052185
40	0.302567215
41	0.2976992798
42	0.2926999664
43	0.2903735542
44	0.2864712524
45	0.2812577248
46	0.2759680939
47	0.2720664787
48	0.2667695999
49	0.2632258987
50	0.2608386612
51	0.2588652039
52	0.2542762947
53	0.2506422043
54	0.2474513817
55	0.2450595093
56	0.2429162979
57	0.2386830521
58	0.2366135597
59	0.2345105553
60	0.2309528732
61	0.2287852478
62	0.2265224838
63	0.2241539955
64	0.221328373
65	0.218833046
66	0.2155305099
67	0.2126607132
68	0.2097689819
69	0.2069743729
70	0.2052871704
71	0.2037557983
72	0.2018242455
73	0.1994558716
74	0.1968425369
75	0.1948076248
76	0.1934223366
77	0.1914118195
78	0.187749176
79	0.1859963036
80	0.1836209106
81	0.1806101227
82	0.1781870461
83	0.1757642365
84	0.174564476
85	0.1712939835
86	0.1684346008
87	0.1667124176
88	0.1653302574
89	0.1627237701
90	0.1610013962
91	0.1583325386
92	0.1558445549
93	0.1547787571
94	0.1533718491
95	0.1523598385
96	0.1499734497
97	0.148388176
98	0.1466754341
99	0.1457477665
